"Chap","Prot","DB","evidence","weight"
"HSPA9","XPNPEP3","local","coexpression",1
"HSPA9","PDP1","local","coexpression",1
"HSPA9","SLC25A21","local","coexpression",1
"HSPA9","SDHAF3","local","coexpression",1
"HSPA9","PRELID3B","local","coexpression",1
"HSPA9","NDUFB3","local","coexpression",1
"HSPA9","REXO2","local","coexpression",1
"HSPA9","GATM","local","coexpression",1
"HSPA9","TIMM10B","local","coexpression",1
"HSPA9","EARS2","local","coexpression",1
"HSPA9","GRHPR","local","coexpression",1
"HSPA9","MTFMT","local","coexpression",1
"HSPA9","PTCD2","local","coexpression",1
"HSPA9","ECHDC1","local","coexpression",1
"HSPA9","HARS2","local","coexpression",1
"HSPA9","NAXE","local","coexpression",1
"HSPA9","HSD17B4","local","coexpression",1
"HSPA9","OAT","local","coexpression",1
"HSPA9","MRPL50","local","coexpression",1
"HSPA9","RARS2","local","coexpression",1
"HSPA9","LACTB2","local","coexpression",1
"HSPA9","SHMT2","local","coexpression",1
"HSPA9","MTHFD2","local","coexpression",1
"HSPA9","RMDN1","local","coexpression",1
"HSPA9","C6ORF203","local","coexpression",1
"HSPA9","TRMT2B","local","coexpression",1
"HSPA9","GSR","local","coexpression",1
"HSPA9","TEFM","local","coexpression",1
"HSPA9","ACSF2","local","coexpression",1
"HSPA9","TRMU","local","coexpression",1
"HSPA9","MRPS22","local","coexpression",1
"HSPA9","LAP3","local","coexpression",1
"HSPA9","GLUD1","local","coexpression",1
"HSPA9","MRPS33","local","coexpression",1
"HSPA9","NUBPL","local","coexpression",1
"HSPA9","LYRM2","local","coexpression",1
"HSPA9","TFAM","local","coexpression",1
"HSPA9","ALDH18A1","local","coexpression",1
"HSPA9","OXSM","local","coexpression",1
"HSPA9","KYAT3","local","coexpression",1
"HSPA9","TARS2","local","coexpression",1
"HSPA9","TBRG4","local","coexpression",1
"HSPA9","TMEM65","local","coexpression",1
"HSPA9","MAIP1","local","coexpression",1
"HSPA9","HIGD1A","local","coexpression",1
"HSPA9","C16ORF91","local","coexpression",1
"HSPA9","SLC25A44","local","coexpression",1
"HSPA9","OXA1L","local","coexpression",1
"HSPA9","SLC25A46","local","coexpression",1
"HSPA9","RDH14","local","coexpression",1
"HSPA9","GLOD4","local","coexpression",1
"HSPA9","PDF","local","coexpression",1
"HSPA9","NLN","local","coexpression",1
