"node1","node2","BRCA","COAD","HNSC","KIRC","KIRP","LIHC","LUAD","LUSC","PRAD","STAD","THCA","UCEC"
"HSPA9","CMC1",0,0,0,0,0,0,0,0,0,0,0,1
"HSPA9","MRPL28",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","TSFM",0,1,0,0,0,0,0,0,0,1,0,1
"HSPA9","FXN",0,1,0,0,1,0,0,1,0,1,0,0
"HSPA9","NFU1",0,0,0,0,1,0,0,0,0,0,0,0
"HSPA9","YARS2",0,1,0,0,1,0,0,1,1,1,0,1
"HSPA9","MRPL21",0,1,0,0,0,0,0,0,0,0,0,0
"HSPA9","ALDH4A1",0,0,0,0,1,0,0,0,0,0,0,0
"HSPA9","TOMM40L",0,0,0,0,1,0,0,0,0,1,0,0
"HSPA9","NDUFAF1",0,0,0,1,0,0,0,0,0,0,0,0
"HSPA9","NDUFB10",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","ACADSB",0,1,1,1,1,0,0,0,1,0,1,1
"HSPA9","MRPS9",0,1,0,0,0,0,0,1,0,1,0,0
"HSPA9","COQ8A",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","ACADVL",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","COQ4",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","MRPL15",0,1,0,1,1,0,0,0,1,1,1,1
"HSPA9","NDUFA2",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","MRPL24",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","NDUFS5",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","AK3",0,0,0,0,0,0,0,0,0,0,1,0
"HSPA9","CYCS",0,1,0,1,0,0,1,0,1,1,1,1
"HSPA9","MIPEP",0,0,1,1,1,0,0,0,0,1,1,0
"HSPA9","LYRM7",1,1,1,1,1,1,0,0,1,0,1,1
"HSPA9","CRAT",0,0,0,1,1,0,0,0,0,0,0,0
"HSPA9","PCCB",1,0,0,1,1,0,1,0,1,1,1,1
"HSPA9","MRPS7",0,0,0,0,0,0,0,0,0,1,0,1
"HSPA9","MRPL3",0,1,1,1,1,0,0,0,1,1,1,1
"HSPA9","PRODH",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","PCCA",0,0,0,1,1,0,0,0,0,0,1,0
"HSPA9","MCCC1",0,0,1,1,1,0,0,1,1,1,1,1
"HSPA9","MRPS12",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","CLPB",0,0,0,1,1,0,1,0,1,0,1,0
"HSPA9","PDK1",0,0,0,0,0,0,0,0,1,1,0,1
"HSPA9","MRPL49",0,0,0,1,1,0,0,0,1,1,1,1
"HSPA9","COX7A2",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","TMEM126A",0,0,0,0,0,0,0,0,0,1,0,0
"HSPA9","ECHDC2",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","HCCS",0,0,0,1,1,0,0,0,1,1,1,1
"HSPA9","HIBADH",0,0,0,1,1,0,0,0,0,0,1,1
"HSPA9","MRPL19",0,1,0,1,1,1,0,0,1,1,1,1
"HSPA9","MRPL36",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","SLC25A30",0,0,0,1,1,0,0,0,0,0,1,1
"HSPA9","BDH1",0,0,0,0,1,0,0,1,0,1,0,0
"HSPA9","FARS2",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","ABCB7",0,0,1,1,1,0,1,0,1,1,1,1
"HSPA9","MTX1",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","NDUFA7",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","TIMM17A",0,1,0,1,1,0,0,0,0,1,1,1
"HSPA9","ALDH9A1",0,0,0,1,1,0,0,0,0,0,1,0
"HSPA9","MRPS18C",0,0,0,0,0,0,0,0,0,1,0,1
