"num_removed","cancer","prop_remain","prop_removed","run_name","under_curve","y_txt"
13,"STAD",0.165149544863459,0.866666666666667,"high_to_low",0.733083152315587,0.28
14,"STAD",0.0364109232769831,0.933333333333333,"high_to_low",0.733083152315587,0.28
15,"STAD",0,1,"high_to_low",0.733083152315587,0.28
0,"THCA",1,0,"high_to_low",0.745177300806642,0.28
1,"THCA",0.99603567888999,0.0666666666666667,"high_to_low",0.745177300806642,0.28
2,"THCA",0.968285431119921,0.133333333333333,"high_to_low",0.745177300806642,0.28
3,"THCA",0.956392467789891,0.2,"high_to_low",0.745177300806642,0.28
4,"THCA",0.941526263627354,0.266666666666667,"high_to_low",0.745177300806642,0.28
5,"THCA",0.920713577799802,0.333333333333333,"high_to_low",0.745177300806642,0.28
6,"THCA",0.897918731417245,0.4,"high_to_low",0.745177300806642,0.28
7,"THCA",0.77601585728444,0.466666666666667,"high_to_low",0.745177300806642,0.28
8,"THCA",0.758176412289395,0.533333333333333,"high_to_low",0.745177300806642,0.28
9,"THCA",0.573835480673935,0.6,"high_to_low",0.745177300806642,0.28
10,"THCA",0.43211100099108,0.666666666666667,"high_to_low",0.745177300806642,0.28
11,"THCA",0.373637264618434,0.733333333333333,"high_to_low",0.745177300806642,0.28
12,"THCA",0.295341922695738,0.8,"high_to_low",0.745177300806642,0.28
13,"THCA",0.181367690782953,0.866666666666667,"high_to_low",0.745177300806642,0.28
14,"THCA",0.13181367690783,0.933333333333333,"high_to_low",0.745177300806642,0.28
15,"THCA",0,1,"high_to_low",0.745177300806642,0.28
0,"UCEC",1,0,"high_to_low",0.736225050708812,0.28
1,"UCEC",0.993788819875776,0.0666666666666667,"high_to_low",0.736225050708812,0.28
2,"UCEC",0.988819875776398,0.133333333333333,"high_to_low",0.736225050708812,0.28
3,"UCEC",0.981366459627329,0.2,"high_to_low",0.736225050708812,0.28
4,"UCEC",0.961490683229814,0.266666666666667,"high_to_low",0.736225050708812,0.28
5,"UCEC",0.919254658385093,0.333333333333333,"high_to_low",0.736225050708812,0.28
6,"UCEC",0.788819875776398,0.4,"high_to_low",0.736225050708812,0.28
7,"UCEC",0.747826086956522,0.466666666666667,"high_to_low",0.736225050708812,0.28
8,"UCEC",0.559006211180124,0.533333333333333,"high_to_low",0.736225050708812,0.28
9,"UCEC",0.505590062111801,0.6,"high_to_low",0.736225050708812,0.28
10,"UCEC",0.477018633540373,0.666666666666667,"high_to_low",0.736225050708812,0.28
11,"UCEC",0.386335403726708,0.733333333333333,"high_to_low",0.736225050708812,0.28
12,"UCEC",0.295652173913043,0.8,"high_to_low",0.736225050708812,0.28
13,"UCEC",0.135403726708075,0.866666666666667,"high_to_low",0.736225050708812,0.28
14,"UCEC",0.062111801242236,0.933333333333333,"high_to_low",0.736225050708812,0.28
15,"UCEC",0,1,"high_to_low",0.736225050708812,0.28
0,"BRCA",1,0,"random",0.730338198604787,0.4
0,"COAD",1,0,"random",0.754030843883154,0.4
0,"HNSC",1,0,"random",0.780016748980333,0.4
0,"KIRC",1,0,"random",0.753487705516588,0.4
0,"KIRP",1,0,"random",0.804593735895981,0.4
0,"LIHC",1,0,"random",0.732849683228127,0.4
0,"LUAD",1,0,"random",0.729659223015456,0.4
0,"LUSC",1,0,"random",0.722925475961061,0.4
0,"PRAD",1,0,"random",0.792093347625851,0.4
0,"STAD",1,0,"random",0.772364285687789,0.4
0,"THCA",1,0,"random",0.802996847561358,0.4
0,"UCEC",1,0,"random",0.75722106669341,0.4
1,"BRCA",0.9785,0.0666666666666667,"random",0.730338198604787,0.4
1,"COAD",0.984542565266742,0.0666666666666667,"random",0.754030843883154,0.4
1,"HNSC",0.989434194341943,0.0666666666666667,"random",0.780016748980333,0.4
1,"KIRC",0.985541188738269,0.0666666666666667,"random",0.753487705516588,0.4
1,"KIRP",0.994865586272641,0.0666666666666667,"random",0.804593735895981,0.4
1,"LIHC",0.978523341523342,0.0666666666666667,"random",0.732849683228127,0.4
1,"LUAD",0.977241809672387,0.0666666666666667,"random",0.729659223015456,0.4
1,"LUSC",0.974636363636364,0.0666666666666667,"random",0.722925475961061,0.4
1,"PRAD",0.991698823529412,0.0666666666666667,"random",0.792093347625851,0.4
1,"STAD",0.989576072821847,0.0666666666666667,"random",0.772364285687789,0.4
1,"THCA",0.993762140733399,0.0666666666666667,"random",0.802996847561358,0.4
1,"UCEC",0.986494409937888,0.0666666666666667,"random",0.75722106669341,0.4
2,"BRCA",0.955587837837838,0.133333333333333,"random",0.730338198604787,0.4
2,"COAD",0.968202043132804,0.133333333333333,"random",0.754030843883154,0.4
2,"HNSC",0.978184501845018,0.133333333333333,"random",0.780016748980333,0.4
2,"KIRC",0.968871741397289,0.133333333333333,"random",0.753487705516588,0.4
2,"KIRP",0.988200190657769,0.133333333333333,"random",0.804593735895981,0.4
2,"LIHC",0.956547911547912,0.133333333333333,"random",0.732849683228127,0.4
2,"LUAD",0.955375975039002,0.133333333333333,"random",0.729659223015456,0.4
2,"LUSC",0.947797202797203,0.133333333333333,"random",0.722925475961061,0.4
2,"PRAD",0.982465882352941,0.133333333333333,"random",0.792093347625851,0.4
2,"STAD",0.977375812743823,0.133333333333333,"random",0.772364285687789,0.4
2,"THCA",0.986915758176412,0.133333333333333,"random",0.802996847561358,0.4
2,"UCEC",0.97135900621118,0.133333333333333,"random",0.75722106669341,0.4
3,"BRCA",0.928631756756757,0.2,"random",0.730338198604787,0.4
3,"COAD",0.949875141884223,0.2,"random",0.754030843883154,0.4
3,"HNSC",0.964949569495695,0.2,"random",0.780016748980333,0.4
3,"KIRC",0.950417101147028,0.2,"random",0.753487705516588,0.4
3,"KIRP",0.979872259294566,0.2,"random",0.804593735895981,0.4
3,"LIHC",0.93170515970516,0.2,"random",0.732849683228127,0.4
3,"LUAD",0.927859594383775,0.2,"random",0.729659223015456,0.4
