cancer,under_curve,run_type,sim,chap_removed
STAD,0.5869477196140019,random,4,TRAP1->AFG3L2->HSCB->YME1L1->CLPX->SPG7->HSPA9->HTRA2->HSPD1->CLPP->GRPEL2->LONP1->DNAJC19->DNAJA3->HSPE1
THCA,0.6844025594998435,random,4,HSPE1->CLPP->CLPX->HSCB->LONP1->AFG3L2->HSPD1->HTRA2->DNAJC19->YME1L1->TRAP1->GRPEL2->HSPA9->SPG7->DNAJA3
UCEC,0.602257632669841,random,4,LONP1->CLPP->HSPD1->AFG3L2->YME1L1->HSCB->DNAJA3->GRPEL2->DNAJC19->HSPE1->HTRA2->CLPX->HSPA9->SPG7->TRAP1
BRCA,0.5652572645163457,random,5,HSPD1->AFG3L2->HSCB->GRPEL2->HTRA2->HSPE1->YME1L1->DNAJA3->HSPA9->TRAP1->LONP1->CLPP->CLPX->DNAJC19->SPG7
COAD,0.6344675929654912,random,5,HSPA9->TRAP1->AFG3L2->HSPD1->HTRA2->DNAJC19->LONP1->GRPEL2->CLPX->CLPP->HSCB->HSPE1->SPG7->YME1L1->DNAJA3
HNSC,0.6026319685504973,random,5,HSPA9->AFG3L2->YME1L1->HSCB->CLPX->LONP1->DNAJC19->TRAP1->DNAJA3->GRPEL2->HSPE1->SPG7->CLPP->HTRA2->HSPD1
KIRC,0.6629785787560529,random,5,CLPX->LONP1->HSPD1->HSPE1->GRPEL2->AFG3L2->HSCB->CLPP->SPG7->HTRA2->DNAJA3->HSPA9->YME1L1->TRAP1->DNAJC19
KIRP,0.7179980470434759,random,5,HSPA9->YME1L1->CLPP->LONP1->TRAP1->CLPX->HSCB->AFG3L2->GRPEL2->DNAJA3->HSPE1->HTRA2->DNAJC19->SPG7->HSPD1
LIHC,0.6068550535956682,random,5,CLPX->SPG7->YME1L1->CLPP->HSPD1->DNAJC19->GRPEL2->HSPE1->DNAJA3->HTRA2->AFG3L2->HSCB->LONP1->HSPA9->TRAP1
LUAD,0.5795537704817918,random,5,CLPP->TRAP1->HTRA2->HSCB->CLPX->AFG3L2->HSPD1->LONP1->YME1L1->HSPE1->DNAJA3->GRPEL2->SPG7->DNAJC19->HSPA9
LUSC,0.5574780980322738,random,5,HSPD1->HSPE1->YME1L1->HTRA2->CLPX->AFG3L2->TRAP1->LONP1->HSCB->DNAJA3->CLPP->DNAJC19->SPG7->HSPA9->GRPEL2
PRAD,0.6126332698674306,random,5,CLPX->HSPA9->HSPD1->TRAP1->LONP1->CLPP->SPG7->HTRA2->HSPE1->DNAJC19->GRPEL2->DNAJA3->AFG3L2->YME1L1->HSCB
STAD,0.6026593756976095,random,5,DNAJC19->GRPEL2->YME1L1->CLPX->HTRA2->HSCB->LONP1->HSPD1->HSPE1->SPG7->CLPP->TRAP1->DNAJA3->HSPA9->AFG3L2
THCA,0.6896762049489947,random,5,DNAJC19->HSPD1->CLPP->HSPE1->HSPA9->AFG3L2->SPG7->GRPEL2->DNAJA3->LONP1->YME1L1->TRAP1->CLPX->HTRA2->HSCB
UCEC,0.5881756176148056,random,5,GRPEL2->LONP1->CLPP->HTRA2->HSPE1->HSCB->TRAP1->DNAJC19->HSPA9->SPG7->CLPX->AFG3L2->DNAJA3->HSPD1->YME1L1
BRCA,0.5704398035215593,random,6,CLPX->HTRA2->GRPEL2->TRAP1->LONP1->HSCB->HSPE1->CLPP->SPG7->AFG3L2->DNAJA3->HSPA9->YME1L1->HSPD1->DNAJC19
COAD,0.6256629620212466,random,6,YME1L1->TRAP1->HSPA9->AFG3L2->SPG7->HSPE1->HSCB->DNAJC19->CLPX->CLPP->HTRA2->GRPEL2->LONP1->HSPD1->DNAJA3
HNSC,0.6201761067685678,random,6,GRPEL2->HSPA9->CLPX->CLPP->TRAP1->DNAJC19->HSCB->HSPD1->AFG3L2->HSPE1->HTRA2->DNAJA3->SPG7->LONP1->YME1L1
KIRC,0.6620875112236904,random,6,CLPX->HSPA9->HSCB->CLPP->DNAJC19->HSPE1->HSPD1->GRPEL2->TRAP1->SPG7->AFG3L2->DNAJA3->YME1L1->HTRA2->LONP1
KIRP,0.719408765649185,random,6,AFG3L2->YME1L1->HSCB->TRAP1->GRPEL2->HTRA2->CLPX->HSPA9->HSPE1->DNAJA3->SPG7->DNAJC19->HSPD1->LONP1->CLPP
LIHC,0.5908951073518861,random,6,CLPX->CLPP->HSPA9->HTRA2->HSPE1->DNAJC19->AFG3L2->GRPEL2->LONP1->TRAP1->HSPD1->DNAJA3->HSCB->SPG7->YME1L1
LUAD,0.5758842258002552,random,6,LONP1->HTRA2->HSPD1->AFG3L2->HSPE1->GRPEL2->DNAJC19->TRAP1->CLPP->DNAJA3->YME1L1->SPG7->CLPX->HSCB->HSPA9
LUSC,0.5647928679483911,random,6,DNAJA3->HTRA2->HSPA9->YME1L1->DNAJC19->CLPX->CLPP->HSPD1->AFG3L2->HSCB->GRPEL2->HSPE1->LONP1->TRAP1->SPG7
PRAD,0.6266871648077091,random,6,HSPA9->CLPX->HSPE1->HTRA2->TRAP1->GRPEL2->HSCB->HSPD1->LONP1->DNAJC19->YME1L1->DNAJA3->AFG3L2->CLPP->SPG7
STAD,0.6090491833473142,random,6,DNAJC19->TRAP1->GRPEL2->YME1L1->HTRA2->CLPX->AFG3L2->HSPD1->HSPE1->HSCB->HSPA9->DNAJA3->CLPP->SPG7->LONP1
THCA,0.7072976141657527,random,6,LONP1->HSPE1->HSPA9->TRAP1->AFG3L2->YME1L1->DNAJA3->DNAJC19->SPG7->HSPD1->HSCB->HTRA2->CLPP->CLPX->GRPEL2
UCEC,0.6021408083977186,random,6,HSCB->HTRA2->LONP1->HSPD1->TRAP1->SPG7->CLPX->YME1L1->HSPE1->AFG3L2->CLPP->DNAJC19->DNAJA3->GRPEL2->HSPA9
BRCA,0.5593225616666372,random,7,CLPX->YME1L1->HSPE1->SPG7->DNAJA3->HSCB->GRPEL2->LONP1->CLPP->TRAP1->HSPA9->HSPD1->DNAJC19->AFG3L2->HTRA2
COAD,0.6322144325192305,random,7,CLPX->DNAJC19->AFG3L2->HSCB->HSPD1->TRAP1->HSPE1->YME1L1->DNAJA3->HSPA9->HTRA2->GRPEL2->LONP1->CLPP->SPG7
HNSC,0.6164883648353678,random,7,LONP1->CLPX->HSPA9->HSCB->DNAJA3->HSPD1->CLPP->DNAJC19->HSPE1->GRPEL2->YME1L1->SPG7->TRAP1->HTRA2->AFG3L2
KIRC,0.6382906961232995,random,7,CLPX->YME1L1->AFG3L2->HSPE1->HTRA2->HSCB->CLPP->DNAJC19->HSPA9->HSPD1->LONP1->GRPEL2->SPG7->DNAJA3->TRAP1
KIRP,0.7275123098341922,random,7,DNAJC19->TRAP1->HSPA9->HSCB->YME1L1->HSPD1->HSPE1->LONP1->GRPEL2->CLPP->SPG7->HTRA2->AFG3L2->CLPX->DNAJA3
LIHC,0.6163700155899294,random,7,GRPEL2->AFG3L2->HSPD1->DNAJA3->YME1L1->SPG7->HSCB->TRAP1->HSPE1->CLPX->HSPA9->HTRA2->DNAJC19->CLPP->LONP1
LUAD,0.560809305462868,random,7,SPG7->HTRA2->LONP1->DNAJC19->HSPA9->HSPE1->TRAP1->AFG3L2->CLPP->CLPX->GRPEL2->YME1L1->HSPD1->HSCB->DNAJA3
LUSC,0.5549372069036638,random,7,DNAJC19->AFG3L2->HSPA9->SPG7->GRPEL2->LONP1->HSCB->CLPX->HSPD1->YME1L1->HSPE1->DNAJA3->HTRA2->TRAP1->CLPP
PRAD,0.6171927607631268,random,7,YME1L1->TRAP1->HSPA9->HSCB->AFG3L2->HTRA2->DNAJA3->CLPX->LONP1->HSPD1->SPG7->GRPEL2->DNAJC19->CLPP->HSPE1
STAD,0.6087301439456085,random,7,HSPA9->TRAP1->YME1L1->AFG3L2->CLPX->CLPP->HSPD1->HSCB->LONP1->DNAJA3->DNAJC19->HTRA2->HSPE1->GRPEL2->SPG7
THCA,0.6718014775386268,random,7,CLPX->SPG7->DNAJC19->GRPEL2->HSPE1->AFG3L2->TRAP1->YME1L1->HTRA2->HSCB->DNAJA3->HSPA9->LONP1->HSPD1->CLPP
UCEC,0.5991157111182155,random,7,TRAP1->CLPX->YME1L1->DNAJC19->AFG3L2->HTRA2->HSCB->HSPA9->HSPE1->SPG7->LONP1->CLPP->DNAJA3->GRPEL2->HSPD1
BRCA,0.5590883694859117,random,8,HSPA9->DNAJC19->HSPE1->CLPX->YME1L1->CLPP->TRAP1->DNAJA3->HSCB->LONP1->SPG7->AFG3L2->HSPD1->HTRA2->GRPEL2
COAD,0.6224362472579369,random,8,CLPP->AFG3L2->CLPX->HTRA2->HSPA9->GRPEL2->YME1L1->HSPE1->HSPD1->LONP1->SPG7->DNAJC19->HSCB->DNAJA3->TRAP1
HNSC,0.6098762836318741,random,8,HSPE1->AFG3L2->LONP1->GRPEL2->DNAJC19->DNAJA3->HSPD1->TRAP1->HSCB->HSPA9->HTRA2->CLPX->YME1L1->CLPP->SPG7
KIRC,0.660587758005574,random,8,CLPX->GRPEL2->HSPE1->HTRA2->DNAJC19->AFG3L2->HSCB->DNAJA3->YME1L1->HSPA9->SPG7->HSPD1->CLPP->LONP1->TRAP1
KIRP,0.7197883486202996,random,8,HSCB->CLPX->GRPEL2->HSPE1->CLPP->TRAP1->YME1L1->AFG3L2->DNAJA3->HSPA9->HTRA2->HSPD1->LONP1->SPG7->DNAJC19
LIHC,0.6185072540030447,random,8,HTRA2->AFG3L2->GRPEL2->TRAP1->HSPD1->DNAJA3->LONP1->DNAJC19->HSPE1->YME1L1->CLPP->HSCB->CLPX->SPG7->HSPA9
LUAD,0.5652754267956098,random,8,SPG7->HSPE1->AFG3L2->CLPP->LONP1->DNAJC19->CLPX->HSPA9->HSPD1->HSCB->YME1L1->GRPEL2->HTRA2->DNAJA3->TRAP1
LUSC,0.5415923653381742,random,8,HSCB->SPG7->HSPE1->HSPA9->AFG3L2->HTRA2->CLPP->LONP1->DNAJA3->GRPEL2->CLPX->YME1L1->HSPD1->TRAP1->DNAJC19
PRAD,0.6244590468505701,random,8,GRPEL2->YME1L1->AFG3L2->HSPD1->TRAP1->HSPE1->HSCB->CLPP->CLPX->LONP1->HSPA9->HTRA2->SPG7->DNAJA3->DNAJC19
STAD,0.5907097685183877,random,8,CLPP->AFG3L2->HSPE1->DNAJA3->DNAJC19->YME1L1->HSPA9->HSCB->CLPX->HTRA2->GRPEL2->SPG7->HSPD1->TRAP1->LONP1
THCA,0.6940225237794797,random,8,HSPA9->CLPP->TRAP1->YME1L1->HSPD1->HTRA2->AFG3L2->DNAJA3->CLPX->SPG7->LONP1->DNAJC19->HSPE1->GRPEL2->HSCB
UCEC,0.6161855365083361,random,8,GRPEL2->TRAP1->AFG3L2->DNAJA3->HSCB->HSPD1->HSPE1->CLPP->LONP1->HSPA9->HTRA2->YME1L1->DNAJC19->CLPX->SPG7
BRCA,0.5621576090782422,random,9,HSCB->HSPA9->LONP1->CLPP->TRAP1->SPG7->GRPEL2->DNAJA3->HSPD1->HSPE1->DNAJC19->CLPX->AFG3L2->YME1L1->HTRA2
COAD,0.6276613097641298,random,9,DNAJA3->HTRA2->DNAJC19->HSPE1->HSPA9->CLPP->GRPEL2->AFG3L2->HSPD1->SPG7->CLPX->LONP1->TRAP1->HSCB->YME1L1
HNSC,0.6182616031341249,random,9,HSPA9->DNAJA3->CLPP->HSCB->AFG3L2->LONP1->CLPX->HTRA2->SPG7->TRAP1->DNAJC19->YME1L1->HSPE1->HSPD1->GRPEL2
KIRC,0.654856073985111,random,9,HSPE1->AFG3L2->HSCB->DNAJA3->TRAP1->DNAJC19->HSPA9->CLPX->LONP1->HTRA2->YME1L1->GRPEL2->HSPD1->SPG7->CLPP
KIRP,0.7294531160802575,random,9,CLPX->CLPP->TRAP1->DNAJA3->YME1L1->AFG3L2->HTRA2->HSCB->HSPD1->SPG7->HSPA9->HSPE1->DNAJC19->LONP1->GRPEL2
LIHC,0.5915447994018983,random,9,HSCB->CLPX->HSPE1->HTRA2->TRAP1->HSPD1->CLPP->DNAJC19->AFG3L2->SPG7->LONP1->YME1L1->HSPA9->DNAJA3->GRPEL2
LUAD,0.578550481172081,random,9,HSPD1->DNAJC19->HSPA9->DNAJA3->HSCB->LONP1->TRAP1->GRPEL2->HTRA2->CLPP->SPG7->AFG3L2->HSPE1->YME1L1->CLPX
LUSC,0.5583669156622564,random,9,LONP1->DNAJA3->YME1L1->SPG7->HSPE1->CLPX->GRPEL2->DNAJC19->HSPA9->HTRA2->CLPP->HSCB->AFG3L2->TRAP1->HSPD1
PRAD,0.6163251291946411,random,9,HSCB->CLPP->HSPD1->LONP1->DNAJA3->AFG3L2->SPG7->HSPE1->HTRA2->HSPA9->YME1L1->CLPX->GRPEL2->DNAJC19->TRAP1
