"row","col","similarity","cancer"
"HSPD1","CLPX",0.460803059273423,"KIRP"
"HSPE1","CLPX",0.0774647887323945,"KIRP"
"SPG7","CLPX",0.0303951367781156,"KIRP"
"CLPP","CLPX",0.0459110473457677,"KIRP"
"DNAJA3","CLPX",0.522243713733075,"KIRP"
"LONP1","CLPX",0.158432708688245,"KIRP"
"TRAP1","CLPX",0.462385321100917,"KIRP"
"YME1L1","CLPX",0.632754342431762,"KIRP"
"HSPA9","AFG3L2",0.663385826771654,"KIRP"
"HSPD1","AFG3L2",0.57962962962963,"KIRP"
"HSPE1","AFG3L2",0.163487738419619,"KIRP"
"SPG7","AFG3L2",0.0848656294200848,"KIRP"
"CLPP","AFG3L2",0.123626373626374,"KIRP"
"DNAJA3","AFG3L2",0.704280155642023,"KIRP"
"LONP1","AFG3L2",0.256535947712418,"KIRP"
"TRAP1","AFG3L2",0.659176029962547,"KIRP"
"YME1L1","AFG3L2",0.436538461538462,"KIRP"
"CLPX","AFG3L2",0.674747474747475,"KIRP"
"HSPA9","HTRA2",0.133671742808799,"KIRP"
"HSPD1","HTRA2",0.195767195767196,"KIRP"
"HSPE1","HTRA2",0.203900709219858,"KIRP"
"SPG7","HTRA2",0.312638580931264,"KIRP"
"CLPP","HTRA2",0.156474820143885,"KIRP"
"DNAJA3","HTRA2",0.258527827648115,"KIRP"
"LONP1","HTRA2",0.135755258126195,"KIRP"
"TRAP1","HTRA2",0.292727272727273,"KIRP"
"YME1L1","HTRA2",0.0792452830188679,"KIRP"
"CLPX","HTRA2",0.15547703180212,"KIRP"
"AFG3L2","HTRA2",0.222039473684211,"KIRP"
"HSPA9","DNAJC19",0.112115732368897,"KIRP"
"HSPD1","DNAJC19",0.138939670932358,"KIRP"
"HSPE1","DNAJC19",0.350649350649351,"KIRP"
"SPG7","DNAJC19",0.135306553911205,"KIRP"
"CLPP","DNAJC19",0.227557411273486,"KIRP"
"DNAJA3","DNAJC19",0.102389078498294,"KIRP"
"LONP1","DNAJC19",0.134736842105263,"KIRP"
"TRAP1","DNAJC19",0.0988274706867672,"KIRP"
"YME1L1","DNAJC19",0.031936127744511,"KIRP"
"CLPX","DNAJC19",0.077338129496403,"KIRP"
"AFG3L2","DNAJC19",0.122349102773246,"KIRP"
"HTRA2","DNAJC19",0.127472527472527,"KIRP"
"HSPA9","GRPEL2",0.279545454545455,"KIRP"
"HSPD1","GRPEL2",0.22008547008547,"KIRP"
"HSPE1","GRPEL2",0.036231884057971,"KIRP"
"SPG7","GRPEL2",0.00414078674948237,"KIRP"
"CLPP","GRPEL2",0.00751879699248126,"KIRP"
"DNAJA3","GRPEL2",0.178571428571428,"KIRP"
"LONP1","GRPEL2",0.0252631578947369,"KIRP"
"TRAP1","GRPEL2",0.146110056925996,"KIRP"
"YME1L1","GRPEL2",0.466876971608833,"KIRP"
"CLPX","GRPEL2",0.334146341463415,"KIRP"
"AFG3L2","GRPEL2",0.2421875,"KIRP"
"HTRA2","GRPEL2",0.0429864253393666,"KIRP"
"DNAJC19","GRPEL2",0.0600522193211488,"KIRP"
"HSPA9","HSCB",0.00290275761973868,"KIRP"
"HSPD1","HSCB",0.0145137880986937,"KIRP"
"HSPE1","HSCB",0.361867704280156,"KIRP"
"SPG7","HSCB",0.353200883002208,"KIRP"
"CLPP","HSCB",0.394957983193277,"KIRP"
"DNAJA3","HSCB",0.0183356840620593,"KIRP"
