"","chaperone1","chaperone2","protein","prot_name","obs_percent","random_percent"
"325","HSPA9","HSPD1","ENSG00000130299","GTPBP3",0.166666666666667,1
"326","HSPA9","HSPD1","ENSG00000163738","MTHFD2L",0.0833333333333333,1
"327","HSPA9","HSPD1","ENSG00000119673","ACOT2",0.0833333333333333,1
"328","HSPA9","HSPD1","ENSG00000117528","ABCD3",0.0833333333333333,1
"329","HSPA9","HSPD1","ENSG00000278845","MRPL45",0.333333333333333,1
"330","HSPA9","HSPD1","ENSG00000130921","C12ORF65",0.0833333333333333,1
"331","HSPA9","HSPD1","ENSG00000123472","ATPAF1",0.166666666666667,1
"332","HSPA9","HSPD1","ENSG00000163626","COX18",0.166666666666667,1
"333","HSPA9","HSPD1","ENSG00000080819","CPOX",0.333333333333333,1
"334","HSPA9","HSPD1","ENSG00000112992","NNT",0.333333333333333,1
"335","HSPA9","HSPD1","ENSG00000155380","SLC16A1",0.333333333333333,1
"336","HSPA9","HSPD1","ENSG00000102910","LONP2",0.0833333333333333,1
"337","HSPA9","HSPD1","ENSG00000184047","DIABLO",0.416666666666667,1
"338","HSPA9","HSPD1","ENSG00000176894","PXMP2",0.166666666666667,1
"339","HSPA9","HSPD1","ENSG00000113492","AGXT2",0.166666666666667,1
"340","HSPA9","HSPD1","ENSG00000184831","APOO",0.166666666666667,1
"341","HSPA9","HSPD1","ENSG00000240303","ACAD11",0.0833333333333333,1
"342","HSPA9","HSPD1","ENSG00000011295","TTC19",0.0833333333333333,1
"343","HSPA9","HSPD1","ENSG00000182768","NGRN",0.0833333333333333,1
"344","HSPA9","HSPD1","ENSG00000140905","GCSH",0.25,1
"345","HSPA9","HSPD1","ENSG00000166123","GPT2",0.0833333333333333,1
"346","HSPA9","HSPD1","ENSG00000132837","DMGDH",0.166666666666667,1
"347","HSPA9","HSPD1","ENSG00000100372","SLC25A17",0.25,1
"348","HSPA9","HSPD1","ENSG00000154174","TOMM70",0.583333333333333,1
"349","HSPA9","HSPD1","ENSG00000180185","FAHD1",0.166666666666667,1
"350","HSPA9","HSPD1","ENSG00000156026","MCU",0.0833333333333333,1
